ID,R_Score,F_Score,M_Score,RFM_Score,RFM_Label
3050,5,3,3,11,Loyal
231,1,1,1,3,At Risk
2392,3,2,2,7,Regulars
9478,4,3,3,10,Loyal
113,4,1,1,6,New Customers
2863,2,4,4,10,Loyal
1802,4,4,4,12,Champions
520,1,1,1,3,At Risk
8275,5,1,1,7,New Customers
9750,3,5,5,13,Loyal
2607,2,5,4,11,Loyal
7214,3,4,5,12,Loyal
5835,4,2,2,8,New Customers
3896,5,1,1,7,New Customers
10350,4,1,1,6,New Customers
7786,4,3,2,9,Regulars
2861,2,1,1,4,At Risk
663,3,1,2,6,Regulars
10675,1,4,4,9,Regulars
2521,5,1,2,8,New Customers
9592,3,1,1,5,Regulars
10151,4,4,4,12,Champions
7381,5,4,5,14,Champions
4099,5,1,2,8,New Customers
9560,5,4,5,14,Champions
10172,1,4,5,10,Loyal
11191,5,2,2,9,New Customers
9707,2,4,5,11,Loyal
6245,2,4,3,9,Regulars
8234,5,1,1,7,New Customers
1411,3,3,4,10,Loyal
8553,2,1,1,4,At Risk
1826,5,3,5,13,Loyal
8842,4,2,1,7,New Customers
11030,1,1,1,3,At Risk
2579,1,5,4,10,Loyal
175,1,4,5,10,Loyal
9185,4,4,4,12,Champions
11056,5,4,5,14,Champions
9365,3,5,5,13,Loyal
6201,3,1,1,5,Regulars
2061,2,1,2,5,At Risk
6184,5,3,5,13,Loyal
4107,3,3,3,9,Regulars
7274,1,4,5,10,Loyal
9336,4,4,4,12,Champions
2958,3,2,2,7,Regulars
933,4,1,1,6,New Customers
5837,2,4,3,9,Regulars
10704,2,4,4,10,Loyal
5125,2,5,5,12,Loyal
4432,1,1,1,3,At Risk
5955,4,3,5,12,Loyal
2928,2,3,4,9,Regulars
5680,2,1,1,4,At Risk
10313,2,3,3,8,Regulars
2557,3,1,1,5,Regulars
1245,3,5,5,13,Loyal
1519,5,2,2,9,New Customers
10703,1,2,2,5,At Risk
1726,4,1,2,7,New Customers
4459,5,1,1,7,New Customers
1729,5,4,5,14,Champions
1517,1,1,1,3,At Risk
2098,4,1,1,6,New Customers
9543,2,1,1,4,At Risk
6878,5,3,3,11,Loyal
3310,1,3,3,7,Regulars
2724,4,1,1,6,New Customers
948,4,2,1,7,New Customers
6720,5,3,3,11,Loyal
6202,2,5,4,11,Loyal
2066,3,1,2,6,Regulars
9799,3,4,5,12,Loyal
8318,5,4,5,14,Champions
5642,5,3,3,11,Loyal
2669,2,3,4,9,Regulars
455,1,2,3,6,At Risk
7683,1,5,4,10,Loyal
3428,3,5,5,13,Loyal
7414,5,3,2,10,Loyal
6354,3,1,1,5,Regulars
798,2,1,1,4,At Risk
8213,2,2,2,6,At Risk
2488,1,2,2,5,At Risk
9999,5,5,4,14,Champions
7617,1,3,2,6,At Risk
615,4,2,3,9,New Customers
2552,5,5,3,13,Champions
194,3,1,1,5,Regulars
3645,5,2,2,9,New Customers
8890,5,3,3,11,Loyal
5049,5,1,1,7,New Customers
9973,4,4,3,11,Loyal
7301,2,2,2,6,At Risk
10882,3,3,4,10,Loyal
7030,5,5,5,15,Champions
7422,1,3,3,7,Regulars
3523,1,4,4,9,Regulars
6504,4,2,2,8,New Customers
5067,5,4,5,14,Champions
4216,4,5,5,14,Champions
8581,5,5,4,14,Champions
5929,5,1,1,7,New Customers
3129,4,1,1,6,New Customers
6528,2,1,1,4,At Risk
1361,4,3,5,12,Loyal
7284,5,1,1,7,New Customers
1340,3,5,5,13,Loyal
8746,4,4,5,13,Champions
5987,3,1,1,5,Regulars
3767,5,5,4,14,Champions
3725,5,3,5,13,Loyal
4324,3,4,4,11,Loyal
238,2,5,4,11,Loyal
6694,4,5,4,13,Champions
498,4,1,2,7,New Customers
9347,3,1,1,5,Regulars
9699,5,5,4,14,Champions
10664,5,3,3,11,Loyal
5455,1,2,2,5,At Risk
456,1,1,1,3,At Risk
5012,3,1,1,5,Regulars
7495,2,2,2,6,At Risk
5029,5,1,1,7,New Customers
10642,5,1,1,7,New Customers
2106,1,1,1,3,At Risk
10364,2,1,1,4,At Risk
5954,1,2,3,6,At Risk
1137,1,3,5,9,Regulars
2541,5,1,1,7,New Customers
1142,1,3,3,7,Regulars
2276,2,5,4,11,Loyal
2807,4,5,4,13,Champions
6471,5,1,2,8,New Customers
6131,1,3,3,7,Regulars
6233,4,5,4,13,Champions
4148,1,4,3,8,Regulars
4947,3,5,5,13,Loyal
3225,2,3,3,8,Regulars
7540,3,3,3,9,Regulars
10648,2,4,5,11,Loyal
1992,5,3,4,12,Loyal
7851,2,4,4,10,Loyal
8594,4,2,2,8,New Customers
7059,3,4,5,12,Loyal
2815,3,2,2,7,Regulars
2416,1,4,5,10,Loyal
7999,5,3,5,13,Loyal
9213,5,1,1,7,New Customers
9697,1,4,3,8,Regulars
3916,1,5,4,10,Loyal
2021,3,5,5,13,Loyal
1581,5,1,1,7,New Customers
564,1,5,4,10,Loyal
6619,1,1,1,3,At Risk
9081,3,1,1,5,Regulars
178,3,5,4,12,Loyal
916,2,1,1,4,At Risk
5512,5,3,3,11,Loyal
8970,1,4,3,8,Regulars
10581,3,4,3,10,Loyal
5300,2,1,2,5,At Risk
5154,3,1,1,5,Regulars
8346,4,3,3,10,Loyal
1676,4,3,3,10,Loyal
9286,1,4,4,9,Regulars
2426,4,5,4,13,Champions
5172,5,3,4,12,Loyal
5562,1,4,4,9,Regulars
3436,4,1,1,6,New Customers
3921,1,2,3,6,At Risk
3403,5,4,5,14,Champions
22,1,3,3,7,Regulars
10965,2,4,5,11,Loyal
9426,2,3,4,9,Regulars
3136,1,4,4,9,Regulars
8737,4,1,1,6,New Customers
11088,1,4,5,10,Loyal
716,2,5,4,11,Loyal
9135,1,1,2,4,At Risk
10623,5,1,1,7,New Customers
8151,5,2,3,10,New Customers
5140,2,4,5,11,Loyal
10160,3,1,1,5,Regulars
4945,4,5,5,14,Champions
10584,2,5,4,11,Loyal
6071,2,4,4,10,Loyal
3386,2,2,2,6,At Risk
8939,3,5,4,12,Loyal
9925,1,3,3,7,Regulars
4320,5,5,4,14,Champions
5389,1,3,3,7,Regulars
6036,2,4,5,11,Loyal
182,2,3,3,8,Regulars
203,3,4,5,12,Loyal
11025,5,2,2,9,New Customers
10203,2,1,1,4,At Risk
4607,4,3,4,11,Loyal
3696,2,1,1,4,At Risk
2532,1,3,5,9,Regulars
9214,3,3,3,9,Regulars
4943,2,3,5,10,Loyal
35,4,2,3,9,New Customers
2258,2,1,1,4,At Risk
4322,4,4,5,13,Champions
713,2,3,3,8,Regulars
4702,4,3,5,12,Loyal
3281,2,4,3,9,Regulars
702,1,4,3,8,Regulars
2004,2,3,5,10,Loyal
4769,3,5,3,11,Loyal
4437,2,3,3,8,Regulars
8724,3,1,1,5,Regulars
10741,2,3,3,8,Regulars
1991,5,1,2,8,New Customers
6931,5,3,4,12,Loyal
11096,3,3,3,9,Regulars
304,2,2,2,6,At Risk
3665,3,2,1,6,Regulars
10591,4,2,3,9,New Customers
5036,4,3,3,10,Loyal
5547,5,4,5,14,Champions
7822,3,4,4,11,Loyal
8541,1,2,1,4,At Risk
10955,2,3,5,10,Loyal
4368,2,2,2,6,At Risk
9671,3,2,2,7,Regulars
2256,4,1,1,6,New Customers
4279,1,1,1,3,At Risk
5371,5,2,2,9,New Customers
9240,2,4,3,9,Regulars
9460,2,2,2,6,At Risk
9504,5,5,4,14,Champions
8692,3,3,3,9,Regulars
448,3,4,4,11,Loyal
8314,4,4,5,13,Champions
8420,4,2,2,8,New Customers
3174,2,4,5,11,Loyal
7685,5,2,2,9,New Customers
3179,2,4,5,11,Loyal
9780,5,5,4,14,Champions
10681,5,5,4,14,Champions
10232,5,3,3,11,Loyal
4184,3,3,3,9,Regulars
9120,1,4,4,9,Regulars
891,2,1,1,4,At Risk
10381,3,1,1,5,Regulars
3525,5,1,1,7,New Customers
6818,4,3,3,10,Loyal
3526,3,1,1,5,Regulars
8181,3,2,2,7,Regulars
1029,4,3,3,10,Loyal
7369,3,2,2,7,Regulars
2574,4,4,5,13,Champions
8159,5,2,2,9,New Customers
1160,3,2,1,6,Regulars
10242,4,2,2,8,New Customers
5253,1,3,3,7,Regulars
5966,2,3,3,8,Regulars
5314,2,4,3,9,Regulars
5081,3,1,1,5,Regulars
5123,3,2,2,7,Regulars
5756,2,2,1,5,At Risk
8036,5,2,2,9,New Customers
9058,2,4,5,11,Loyal
5057,2,4,3,9,Regulars
254,5,4,3,12,Champions
4179,1,1,1,3,At Risk
3710,3,2,2,7,Regulars
7627,4,4,5,13,Champions
4501,1,4,5,10,Loyal
6424,5,1,1,7,New Customers
3075,3,3,3,9,Regulars
4992,5,2,2,9,New Customers
5252,1,1,2,4,At Risk
7444,4,1,1,6,New Customers
6919,4,2,2,8,New Customers
3537,3,2,2,7,Regulars
10277,4,1,1,6,New Customers
2453,1,5,4,10,Loyal
7972,2,3,4,9,Regulars
895,2,4,3,9,Regulars
1177,2,2,2,6,At Risk
7141,5,3,3,11,Loyal
7232,1,2,2,5,At Risk
8477,2,1,1,4,At Risk
2457,4,1,1,6,New Customers
988,1,4,5,10,Loyal
7930,2,3,3,8,Regulars
6682,3,1,1,5,Regulars
6222,4,2,1,7,New Customers
10299,2,5,4,11,Loyal
3083,1,4,3,8,Regulars
8953,1,1,1,3,At Risk
1503,4,1,2,7,New Customers
8650,4,1,1,6,New Customers
10862,5,3,3,11,Loyal
2782,4,3,3,10,Loyal
6941,1,1,2,4,At Risk
10972,3,3,4,10,Loyal
10708,3,1,1,5,Regulars
6583,3,4,4,11,Loyal
3641,1,2,1,4,At Risk
10156,3,4,5,12,Loyal
4299,4,5,5,14,Champions
3469,1,2,2,5,At Risk
5063,2,3,3,8,Regulars
10727,3,5,5,13,Loyal
9624,3,3,4,10,Loyal
5156,5,5,4,14,Champions
4376,4,2,2,8,New Customers
8923,5,4,5,14,Champions
8461,5,1,1,7,New Customers
6945,2,5,5,12,Loyal
944,5,3,3,11,Loyal
1907,3,5,5,13,Loyal
701,3,4,5,12,Loyal
3856,2,5,4,11,Loyal
4149,3,4,5,12,Loyal
2131,4,5,5,14,Champions
2942,4,3,3,10,Loyal
1173,2,3,5,10,Loyal
4381,3,3,3,9,Regulars
4611,4,5,5,14,Champions
3376,5,2,3,10,New Customers
4679,3,5,4,12,Loyal
10928,4,3,3,10,Loyal
4248,4,4,5,13,Champions
6728,4,1,1,6,New Customers
6661,2,5,5,12,Loyal
4725,2,2,2,6,At Risk
3277,5,3,3,11,Loyal
5555,1,1,1,3,At Risk
2564,1,2,2,5,At Risk
946,1,2,3,6,At Risk
3867,4,5,4,13,Champions
6940,1,3,3,7,Regulars
55,1,4,3,8,Regulars
7093,2,1,1,4,At Risk
5084,1,5,4,10,Loyal
1777,4,1,2,7,New Customers
8162,1,1,1,3,At Risk
10826,2,1,2,5,At Risk
8754,4,1,1,6,New Customers
1987,4,2,2,8,New Customers
11007,3,1,1,5,Regulars
7426,2,3,3,8,Regulars
9153,1,5,4,10,Loyal
10379,1,4,3,8,Regulars
9204,4,3,4,11,Loyal
3197,4,4,4,12,Champions
2920,2,3,4,9,Regulars
6961,4,1,1,6,New Customers
4673,5,4,5,14,Champions
9937,2,3,3,8,Regulars
8779,5,3,2,10,Loyal
9596,5,4,4,13,Champions
2891,3,5,4,12,Loyal
4910,1,5,5,11,Loyal
75,4,3,3,10,Loyal
10120,1,3,3,7,Regulars
6327,1,3,4,8,Regulars
10142,1,4,4,9,Regulars
9826,1,4,5,10,Loyal
1501,4,5,4,13,Champions
10767,3,4,5,12,Loyal
7279,5,3,4,12,Loyal
7230,1,4,3,8,Regulars
143,2,3,4,9,Regulars
450,1,3,3,7,Regulars
9316,4,1,1,6,New Customers
6379,5,2,2,9,New Customers
9239,1,2,2,5,At Risk
8315,2,1,1,4,At Risk
2868,4,2,2,8,New Customers
10888,3,4,4,11,Loyal
1277,4,5,4,13,Champions
9977,1,4,4,9,Regulars
10196,4,4,3,11,Loyal
6384,4,4,5,13,Champions
8029,4,3,5,12,Loyal
968,4,3,2,9,Regulars
6988,1,4,5,10,Loyal
4472,4,1,2,7,New Customers
6991,1,4,4,9,Regulars
3336,1,3,4,8,Regulars
4301,5,1,2,8,New Customers
1940,4,1,1,6,New Customers
1272,3,5,4,12,Loyal
1388,5,2,2,9,New Customers
1044,3,4,3,10,Loyal
6969,2,3,3,8,Regulars
10479,2,2,5,9,Regulars
3619,5,3,4,12,Loyal
1715,3,2,1,6,Regulars
10159,2,5,5,12,Loyal
1463,5,1,1,7,New Customers
5114,5,3,4,12,Loyal
4990,1,4,4,9,Regulars
4329,3,1,1,5,Regulars
10936,2,3,5,10,Loyal
4692,5,3,2,10,Loyal
7212,1,1,2,4,At Risk
6086,2,5,5,12,Loyal
437,3,5,4,12,Loyal
11171,2,4,3,9,Regulars
11101,5,5,4,14,Champions
5329,4,1,1,6,New Customers
610,2,5,3,10,Loyal
9384,3,5,3,11,Loyal
5956,2,3,3,8,Regulars
10430,4,3,5,12,Loyal
7875,3,5,5,13,Loyal
7072,2,4,5,11,Loyal
6255,4,3,3,10,Loyal
6516,4,1,1,6,New Customers
5564,4,4,5,13,Champions
5682,5,5,4,14,Champions
7458,4,2,2,8,New Customers
5237,2,2,2,6,At Risk
7761,2,2,2,6,At Risk
5278,1,4,4,9,Regulars
3560,3,4,5,12,Loyal
7235,4,2,1,7,New Customers
10548,4,5,4,13,Champions
2281,4,1,1,6,New Customers
4073,5,5,5,15,Champions
6974,1,4,5,10,Loyal
7938,1,3,3,7,Regulars
7094,1,5,4,10,Loyal
3667,4,5,5,14,Champions
7723,3,4,5,12,Loyal
3870,4,5,4,13,Champions
4012,3,5,5,13,Loyal
5909,4,4,5,13,Champions
10470,5,2,2,9,New Customers
6488,1,2,2,5,At Risk
10270,5,2,2,9,New Customers
6887,4,4,3,11,Loyal
6406,5,4,5,14,Champions
7573,5,1,2,8,New Customers
4508,1,4,4,9,Regulars
221,1,3,3,7,Regulars
5331,5,3,5,13,Loyal
1911,5,5,5,15,Champions
20,1,2,2,5,At Risk
8786,3,4,3,10,Loyal
10582,5,4,4,13,Champions
1915,3,4,5,12,Loyal
8897,5,5,4,14,Champions
2371,4,2,2,8,New Customers
4303,2,1,2,5,At Risk
6825,1,1,1,3,At Risk
1072,2,2,2,6,At Risk
4964,1,4,4,9,Regulars
2461,2,1,1,4,At Risk
10736,4,4,5,13,Champions
3194,1,4,5,10,Loyal
10839,3,1,1,5,Regulars
49,4,1,1,6,New Customers
4290,5,1,1,7,New Customers
10219,3,1,1,5,Regulars
4211,5,2,2,9,New Customers
1135,1,3,1,5,At Risk
6299,4,5,4,13,Champions
10846,4,4,4,12,Champions
347,4,3,3,10,Loyal
6543,3,3,5,11,Loyal
10446,3,3,4,10,Loyal
3479,3,1,1,5,Regulars
11075,4,3,3,10,Loyal
4442,2,2,2,6,At Risk
199,4,3,3,10,Loyal
6722,1,5,4,10,Loyal
796,5,5,4,14,Champions
3749,3,5,5,13,Loyal
8523,4,2,2,8,New Customers
310,1,4,3,8,Regulars
8629,2,1,1,4,At Risk
236,2,2,2,6,At Risk
3483,2,5,5,12,Loyal
4599,2,4,3,9,Regulars
7326,1,1,2,4,At Risk
7352,4,3,3,10,Loyal
2350,1,4,4,9,Regulars
9145,3,4,5,12,Loyal
2964,5,1,2,8,New Customers
5585,5,2,1,8,New Customers
9687,5,3,4,12,Loyal
3732,2,5,4,11,Loyal
6303,2,4,5,11,Loyal
11176,5,4,3,12,Champions
2986,1,1,1,3,At Risk
7462,2,4,3,9,Regulars
3900,3,4,4,11,Loyal
7034,4,2,1,7,New Customers
9493,5,4,5,14,Champions
1143,3,2,1,6,Regulars
1,5,4,3,12,Champions
3855,2,2,2,6,At Risk
5536,2,4,5,11,Loyal
5989,3,5,5,13,Loyal
9499,1,3,5,9,Regulars
6768,2,1,1,4,At Risk
2150,1,4,5,10,Loyal
6646,4,1,1,6,New Customers
4887,2,1,2,5,At Risk
8560,1,4,4,9,Regulars
3321,3,4,3,10,Loyal
11003,5,2,1,8,New Customers
10402,1,1,1,3,At Risk
9904,3,5,4,12,Loyal
6141,3,3,3,9,Regulars
5687,1,5,5,11,Loyal
10856,3,1,1,5,Regulars
5121,4,4,4,12,Champions
4186,5,2,2,9,New Customers
368,2,3,3,8,Regulars
3312,5,2,2,9,New Customers
11121,2,2,2,6,At Risk
5332,5,3,4,12,Loyal
5848,3,4,5,12,Loyal
10343,4,4,5,13,Champions
5935,2,5,4,11,Loyal
2895,2,2,3,7,Regulars
10262,1,2,1,4,At Risk
7848,5,3,3,11,Loyal
9477,5,4,3,12,Champions
4856,4,5,5,14,Champions
7186,3,1,1,5,Regulars
5794,5,4,3,12,Champions
1456,4,5,4,13,Champions
4877,5,1,1,7,New Customers
425,2,4,4,10,Loyal
3007,3,1,1,5,Regulars
1031,5,5,4,14,Champions
4297,2,2,1,5,At Risk
807,4,3,3,10,Loyal
9553,1,1,1,3,At Risk
4271,1,3,3,7,Regulars
4120,2,3,3,8,Regulars
2036,4,3,3,10,Loyal
115,5,3,3,11,Loyal
4259,1,1,1,3,At Risk
8687,3,3,3,9,Regulars
2447,2,2,2,6,At Risk
10140,4,3,5,12,Loyal
9353,2,3,4,9,Regulars
3623,3,2,1,6,Regulars
738,4,3,2,9,Regulars
7631,4,5,4,13,Champions
4789,1,4,5,10,Loyal
773,2,5,3,10,Loyal
10602,4,2,2,8,New Customers
1446,5,5,5,15,Champions
3270,1,2,2,5,At Risk
8443,5,2,2,9,New Customers
9653,5,2,2,9,New Customers
8916,2,1,1,4,At Risk
8017,1,2,1,4,At Risk
5830,1,4,5,10,Loyal
4597,2,4,5,11,Loyal
7023,1,3,3,7,Regulars
8086,4,2,1,7,New Customers
8825,3,5,3,11,Loyal
2930,5,4,5,14,Champions
1928,2,2,2,6,At Risk
7108,3,4,3,10,Loyal
10925,1,5,4,10,Loyal
9960,3,1,1,5,Regulars
9224,1,5,4,10,Loyal
